,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,MedianRentalPricePerSqft_AllHomes
10721,California,230.551552993916,385000.0,1900.0,1.29675810473815
10773,California,236.287313432836,394500.0,1850.0,1.27674750356633
10825,California,244.79591836734699,399900.0,1850.0,1.2811791383220001
10877,California,252.141863706212,419900.0,1850.0,1.2954966070326999
10929,California,256.49670814718104,424900.0,2000.0,1.3868343195266297
10981,California,257.802064781834,428888.0,2000.0,1.40070478501662
11033,California,257.49063670412005,429000.0,2000.0,1.40449438202247
11085,California,255.744996293551,425000.0,2075.0,1.4167916041979
11137,California,251.450189155107,419900.0,2100.0,1.4166666666666698
11189,California,249.190031152648,415000.0,2095.0,1.39821029082774
11241,California,242.82815968372,399900.0,2095.0,1.40797854508884
11293,California,226.804168967171,381000.0,2100.0,1.42120241906795
11345,California,236.824769433465,399000.0,2100.0,1.42771804062127
11397,California,244.252873563218,410000.0,2100.0,1.44312393887946
11449,California,249.077490774908,424900.0,2119.0,1.4556682840758701
11501,California,252.42718446601899,429900.0,2200.0,1.5
11553,California,258.517142057564,445000.0,2200.0,1.5145269849308798
11605,California,262.731871838111,449000.0,2275.0,1.53374233128834
11657,California,258.865833647939,445000.0,2295.0,1.5478615071283102
11709,California,263.781861292235,449000.0,2300.0,1.55545927209705
11761,California,264.601769911504,449900.0,2300.0,1.5625
11813,California,263.617187083135,449900.0,2300.0,1.56332803391627
11865,California,261.789083557951,449000.0,2300.0,1.5904572564612298
11917,California,258.671328671329,444450.0,2300.0,1.59021406727829
11969,California,257.90225394567,439950.0,2300.0,1.59304511278195
12021,California,264.429101288933,449900.0,2350.0,1.62675329357016
12073,California,271.284034584303,459999.0,2400.0,1.66333998669328
12125,California,277.777777777778,475000.0,2395.0,1.65876777251185
12177,California,281.470989788183,479900.0,2395.0,1.6496062992126
12229,California,285.326086956522,485000.0,2400.0,1.64155652149636
12281,California,286.55737704918,485000.0,2400.0,1.65198237885463
12333,California,284.736902050114,479900.0,2395.0,1.64835164835165
12385,California,285.097192224622,479900.0,2400.0,1.65615141955836
12437,California,284.346846846847,479800.0,2350.0,1.6322340052969098
12489,California,281.576951987231,475000.0,2400.0,1.67131731127969
12541,California,275.062696023281,465000.0,2300.0,1.60609125546
12593,California,276.070399738974,468000.0,2400.0,1.70233434598189
12645,California,282.53523922970004,475000.0,2500.0,1.7558622388196499
12697,California,292.83276450511903,494500.0,2500.0,1.8007518796992499
12749,California,298.755271845665,499900.0,2600.0,1.84
12801,California,298.889837745517,499999.0,2650.0,1.8614718614718602
12853,California,297.491594689242,499900.0,2682.5,1.8561484918793503
12905,California,297.90115098172004,499950.0,2695.0,1.86488169364882
12957,California,298.245614035088,499900.0,2695.0,1.875
13009,California,299.288617886179,499950.0,2650.0,1.86335403726708
13061,California,299.827434234427,499990.0,2650.0,1.85185185185185
13113,California,297.789625360231,499000.0,2600.0,1.85185185185185
13165,California,291.50124069478903,495000.0,2600.0,1.8532601703698701
